ORIGIN_AIRPORT,flights,delay_rate,avg_arrival_delay,avg_departure_delay,cancellation_rate,diversion_rate,avg_distance,destinations,airlines,cluster,pc1,pc2
ABQ,193,0.44041450777202074,25.447916666666668,23.729166666666668,0.0051813471502590676,0.0,731.8031088082902,21,8,2,1.2533259052942838,0.8123817076812934
ALB,64,0.28125,25.0625,27.953125,0.0,0.0,767.15625,10,6,2,1.2211039209662464,-0.08081205534074029
AMA,55,0.43636363636363634,53.08888888888889,43.51111111111111,0.18181818181818182,0.0,378.05454545454546,5,4,3,5.316244161929098,1.7397021226786344
ANC,145,0.08275862068965517,-11.854166666666666,0.5763888888888888,0.006896551724137931,0.0,1472.6896551724137,22,4,0,-2.785965136905214,-2.313609806150848
ASE,84,0.7261904761904762,56.675,55.8625,0.047619047619047616,0.0,663.8571428571429,8,2,3,6.105576234607863,3.085728668433455
ATL,2865,0.22338568935427575,5.490133897110641,12.148719747457033,0.005584642233856894,0.0038394415357766143,676.475392670157,164,11,1,-3.844530439633987,4.034935407837411
AUS,365,0.25753424657534246,8.451977401129943,16.497191011235955,0.0273972602739726,0.0027397260273972603,814.4958904109589,34,11,0,-0.9436431356607472,0.2960184321287261
BDL,187,0.2994652406417112,11.204301075268818,9.593582887700535,0.0,0.0053475935828877,860.716577540107,19,8,0,-0.581520366835205,-0.4006856519175468
BHM,114,0.35964912280701755,17.576576576576578,17.294642857142858,0.017543859649122806,0.008771929824561403,542.6754385964912,15,6,2,1.0067377838405724,-0.10994228036608555
BNA,444,0.2545045045045045,7.433106575963719,11.73469387755102,0.006756756756756757,0.0,660.4009009009009,43,8,0,-0.8465267234669931,-0.31082665757513694
BOI,113,0.2920353982300885,17.871559633027523,22.155963302752294,0.035398230088495575,0.0,673.1150442477876,12,5,2,1.1295504847864333,-0.4803514725915032
BOS,837,0.23297491039426524,12.714457831325301,11.61344537815126,0.0047789725209080045,0.0035842293906810036,1143.6188769414575,53,11,1,-2.0241890087876357,1.0625777380715036
BTR,68,0.36764705882352944,43.50909090909091,33.92727272727273,0.19117647058823528,0.0,368.6617647058824,3,2,3,4.631874396835395,0.6375722834056823
BUF,146,0.2191780821917808,3.806896551724138,9.579310344827586,0.00684931506849315,0.0,595.6849315068494,15,7,0,-0.5767533242107571,-1.4653781654515678
BUR,167,0.2694610778443114,17.89090909090909,16.86060606060606,0.011976047904191617,0.0,465.0,11,4,2,1.0604247542961545,-1.0541008719271845
BWI,755,0.2847682119205298,12.457831325301205,14.125500667556743,0.007947019867549669,0.0026490066225165563,757.5470198675497,63,10,1,-1.1762923351266568,0.9969447652166924
BZN,53,0.4339622641509434,35.44230769230769,31.615384615384617,0.018867924528301886,0.0,830.9433962264151,10,4,2,2.6067351489236756,0.7643390923455843
CAE,56,0.35714285714285715,27.537037037037038,23.537037037037038,0.03571428571428571,0.0,518.2857142857143,6,3,2,2.3279902851702667,-0.39603839848986466
CAK,56,0.10714285714285714,-5.214285714285714,2.142857142857143,0.0,0.0,589.5,10,3,0,-1.05192985678562,-3.013355685481068
CHS,107,0.18691588785046728,10.914285714285715,10.39047619047619,0.018691588785046728,0.0,585.8411214953271,16,6,0,-0.15717095640903025,-1.4581193774445305
CID,74,0.3783783783783784,19.234375,11.125,0.13513513513513514,0.0,420.47297297297297,6,4,2,2.087326796616062,-0.7354414497101633
CLE,287,0.1986062717770035,0.0456140350877193,6.849122807017544,0.006968641114982578,0.0,752.7212543554007,28,9,0,-1.5557223958216877,-1.0985352619356974
CLT,936,0.20085470085470086,4.693965517241379,7.558665231431647,0.007478632478632479,0.0010683760683760685,736.3557692307693,58,8,0,-1.8085643514344187,0.029277159409362055
CMH,223,0.2062780269058296,8.082191780821917,11.846153846153847,0.008968609865470852,0.008968609865470852,735.9237668161435,22,8,0,-0.7944755103822982,-0.5883258540054821
COS,85,0.24705882352941178,14.493975903614459,10.734939759036145,0.023529411764705882,0.0,617.8352941176471,9,4,0,0.5309579539578704,-1.4338999634957956
CRP,60,0.4,22.185185185185187,23.945454545454545,0.08333333333333333,0.016666666666666666,263.1666666666667,4,3,2,2.799228264955725,0.14056814019931085
CVG,187,0.25668449197860965,7.589887640449438,11.316666666666666,0.0374331550802139,0.0106951871657754,759.6951871657755,26,5,0,-0.16752417341659126,-0.5849268461071235
DAL,514,0.35992217898832685,15.82897384305835,20.889779559118235,0.029182879377431907,0.0038910505836575876,619.1809338521401,33,5,2,0.8385450950818686,0.42231778829335087
DAY,77,0.12987012987012986,-1.8181818181818181,3.220779220779221,0.0,0.0,505.8961038961039,10,6,0,-1.0931418167364162,-2.517792220452844
DCA,581,0.1721170395869191,3.3310225303292893,4.979202772963605,0.0068846815834767644,0.0,859.368330464716,42,12,0,-2.402533075503336,-0.3000610483352992
DEN,1970,0.5390862944162437,33.544046983449014,30.979255319148937,0.046700507614213196,0.0025380710659898475,868.0192893401015,136,11,1,-0.11758418036327976,5.634169309495102
DFW,2498,0.4743795036028823,32.607816711590296,33.00358102059087,0.10648518815052041,0.0024019215372297837,774.0748598879103,146,11,1,-0.2152510993541249,6.1713363206143415
DSM,83,0.30120481927710846,14.782051282051283,11.692307692307692,0.060240963855421686,0.0,548.9638554216867,11,8,0,0.5233794962171918,-0.696930043262855
DTW,862,0.2122969837587007,4.4314185228604925,9.360233918128655,0.009280742459396751,0.001160092807424594,786.6972157772622,86,12,1,-2.4944506960312736,0.9533697269882928
ELP,119,0.36134453781512604,20.78448275862069,20.603448275862068,0.025210084033613446,0.0,642.7142857142857,12,6,2,1.2659474992364823,-0.15081561749876773
EWR,915,0.30491803278688523,14.551267916207276,16.746153846153845,0.00546448087431694,0.003278688524590164,1182.3398907103824,77,9,1,-1.5310192753631213,1.8058606105934165
FAR,54,0.37037037037037035,11.803921568627452,12.627450980392156,0.05555555555555555,0.0,591.3703703703703,6,5,2,1.0601579465053292,-0.8973697286218498
FAT,87,0.3103448275862069,16.632183908045977,13.793103448275861,0.0,0.0,487.5287356321839,7,3,2,1.1382212802021188,-1.3184158083298123
FLL,800,0.20875,4.2176100628930815,10.051507537688442,0.005,0.00125,1066.51875,57,10,1,-2.2890388497132843,0.4587416190902753
FSD,54,0.4444444444444444,21.245283018867923,14.471698113207546,0.018518518518518517,0.0,523.4074074074074,5,5,2,1.6501330894388329,-0.46005082379941337
GEG,87,0.27586206896551724,20.174418604651162,19.941860465116278,0.011494252873563218,0.0,654.9770114942529,9,7,2,0.7401243614464607,-0.49145061569647563
GRR,91,0.3516483516483517,20.711111111111112,20.07777777777778,0.01098901098901099,0.0,529.8241758241758,11,6,2,1.2888449750797002,-0.367699127453957
GSO,65,0.12307692307692308,1.8548387096774193,4.317460317460317,0.046153846153846156,0.0,495.95384615384614,9,4,0,-0.3812303241178719,-2.5270648009855736
GSP,60,0.4,28.52542372881356,26.627118644067796,0.016666666666666666,0.0,495.76666666666665,11,4,2,2.3889965294654103,0.025990379491059937
HNL,435,0.3080459770114943,17.368055555555557,18.131944444444443,0.006896551724137931,0.0,1341.510344827586,27,6,0,-0.41514202970289776,0.44609736333901084
HOU,491,0.40325865580448067,18.11410788381743,24.983402489626556,0.018329938900203666,0.0,703.979633401222,44,5,2,1.0164317412289983,0.83660642221997
HPN,64,0.234375,6.966101694915254,5.016949152542373,0.078125,0.0,927.140625,7,3,0,0.03898652112389054,-1.7027893741784181
IAD,469,0.31769722814498935,14.772532188841202,15.852564102564102,0.0042643923240938165,0.0021321961620469083,1111.1492537313434,62,9,1,-1.0564579487156485,1.0918458699049036
IAH,1479,0.36443542934415146,18.384027777777778,24.80467675378267,0.0196078431372549,0.0067613252197430695,846.1926977687626,110,9,1,-0.9650194145514448,3.3680749742510327
ICT,67,0.3283582089552239,23.508196721311474,27.016129032258064,0.08955223880597014,0.0,579.1194029850747,10,6,2,2.012210567323343,0.10027899146351607
IND,233,0.21030042918454936,6.329004329004329,11.242424242424242,0.008583690987124463,0.0,716.8969957081545,24,9,0,-0.96509164777953,-0.8414244132178978
ITO,53,0.37735849056603776,31.37735849056604,24.28301886792453,0.0,0.0,329.8490566037736,3,2,2,2.7687323588905053,-0.5719897069212606
JAC,52,0.4423076923076923,21.11764705882353,16.352941176470587,0.019230769230769232,0.0,840.7115384615385,13,4,2,1.3921541104067165,-0.15250866069789906
JAN,70,0.4142857142857143,33.10294117647059,28.057971014492754,0.014285714285714285,0.014285714285714285,393.42857142857144,4,3,2,2.911746558581395,0.4963941648487543
JAX,180,0.24444444444444444,8.972222222222221,9.466666666666667,0.0,0.0,609.0166666666667,20,7,0,-0.4102742231350884,-1.1402612992322188
JFK,946,0.2822410147991543,11.371944739638682,11.886411889596603,0.004228329809725159,0.0010570824524312897,1433.3107822410147,59,8,1,-1.9609296798700109,1.1997858808272235
KOA,106,0.2641509433962264,10.31132075471698,11.00943396226415,0.0,0.0,1101.698113207547,11,6,0,-0.5706748514385359,-0.9198522864090077
LAS,1186,0.2900505902192243,11.548305084745763,14.20575783234547,0.0042158516020236085,0.0008431703204047217,956.3288364249578,72,12,1,-2.014165058723313,1.8085675208336005
LAX,1913,0.3361212754835337,16.231822971549,15.692752100840336,0.004704652378463147,0.0031364349189754314,1263.4945112388918,78,13,1,-2.557401333127414,3.335376273795634
LEX,54,0.35185185185185186,21.058823529411764,20.666666666666668,0.05555555555555555,0.0,471.55555555555554,5,4,2,1.982870474394794,-0.6000285086958987
LGA,831,0.2009626955475331,1.5973397823458282,7.041062801932367,0.0048134777376654635,0.0,880.8808664259927,50,12,1,-2.526475545843445,0.19631538413304364
LGB,91,0.12087912087912088,2.911111111111111,3.3222222222222224,0.01098901098901099,0.0,768.945054945055,10,2,0,-0.6815151240416933,-2.6098808284017734
LIH,106,0.36792452830188677,28.443396226415093,29.4811320754717,0.0,0.0,1077.7075471698113,11,6,2,1.310596819727393,0.6623049630967534
LIT,104,0.33653846153846156,20.90909090909091,18.02020202020202,0.04807692307692308,0.0,527.4038461538462,12,6,2,1.3512208120674407,-0.378242055489941
MAF,80,0.3125,67.21212121212122,60.63636363636363,0.5875,0.0,416.075,6,4,3,8.362836862435021,3.4632149361716054
MCI,354,0.2457627118644068,8.775862068965518,11.578796561604584,0.014124293785310734,0.002824858757062147,719.0056497175141,33,9,0,-0.863875927071048,-0.2712640501443224
MCO,1125,0.2311111111111111,9.025157232704403,13.401251117068812,0.006222222222222222,0.0044444444444444444,977.6933333333334,72,11,1,-2.221718967911166,1.4860913923396866
MDW,707,0.3536067892503536,13.327635327635328,15.825284090909092,0.004243281471004243,0.002828854314002829,800.3154172560113,62,5,2,-0.2210179403394053,0.7686996634426678
MEM,140,0.19285714285714287,13.562043795620438,14.255474452554745,0.02142857142857143,0.0,566.65,16,8,0,-0.10766477444579456,-0.9740645054135749
MHT,51,0.17647058823529413,2.4313725490196076,2.7254901960784315,0.0,0.0,730.4705882352941,7,3,0,-0.6277934270155142,-2.47925800606208
MIA,734,0.2724795640326976,11.91334250343879,16.50824175824176,0.008174386920980926,0.0013623978201634877,1050.967302452316,46,7,1,-0.9306853988762104,0.6093866867011742
MKE,263,0.41064638783269963,18.525490196078433,12.45136186770428,0.022813688212927757,0.0076045627376425855,697.5361216730038,26,8,2,0.42291952586044457,0.504199573354617
MSN,77,0.44155844155844154,22.47222222222222,14.402777777777779,0.06493506493506493,0.0,450.1948051948052,9,5,2,1.9845375393783118,-0.2943488994545426
MSP,881,0.24063564131668558,7.3744292237442925,12.164383561643836,0.0056753688989784334,0.0,880.3893303064699,96,11,1,-2.2636942928469206,1.3224648739326292
MSY,343,0.25072886297376096,10.58235294117647,14.30791788856305,0.0058309037900874635,0.0029154518950437317,758.734693877551,34,11,0,-1.018593542922634,0.13384224580387527
OAK,372,0.34139784946236557,16.626702997275203,16.89673913043478,0.010752688172043012,0.002688172043010753,686.0779569892474,27,8,2,0.19880101416725335,0.2789332263187873
OGG,208,0.4423076923076923,26.20873786407767,26.558252427184467,0.009615384615384616,0.0,1343.5865384615386,18,6,2,0.9700191102701601,1.1670595163277482
OKC,156,0.2564102564102564,10.644295302013424,12.604026845637584,0.04487179487179487,0.0,623.9679487179487,19,8,0,-0.045598286415528363,-0.7322923634152515
OMA,154,0.2987012987012987,11.158620689655173,11.020408163265307,0.045454545454545456,0.012987012987012988,661.5584415584416,15,9,0,-0.1405593483207668,-0.08326013577720646
ONT,175,0.2742857142857143,11.598837209302326,10.383720930232558,0.017142857142857144,0.0,591.36,14,6,0,0.14054733701971828,-1.0951800162940195
ORD,2395,0.35991649269311066,16.66537634408602,17.66538296961917,0.026722338204592903,0.0025052192066805845,739.6183716075157,153,12,1,-2.431420720652039,4.609071687088381
ORF,84,0.14285714285714285,1.880952380952381,4.119047619047619,0.0,0.0,564.5595238095239,14,7,0,-1.1070820954714324,-2.11883564086398
PBI,282,0.18439716312056736,4.708185053380783,6.900709219858156,0.0,0.0035460992907801418,954.0709219858156,21,8,0,-1.5234551370686475,-0.9757367348258793
PDX,437,0.16018306636155608,0.8876146788990825,6.837155963302752,0.002288329519450801,0.0,1117.4302059496567,38,12,0,-2.6875357154803963,-0.35071877536503254
PHL,570,0.2894736842105263,12.945132743362832,13.416225749559082,0.005263157894736842,0.0035087719298245615,1129.040350877193,37,10,1,-1.3027743405075156,0.7394503804981732
PHX,1457,0.3260123541523679,14.689702833448514,15.055862068965517,0.004804392587508579,0.002059025394646534,1006.2072752230611,77,12,1,-1.9823288211058128,2.4626820170008847
PIT,218,0.2706422018348624,11.916666666666666,14.774193548387096,0.0045871559633027525,0.0045871559633027525,776.6926605504588,23,9,0,-0.486558399662309,-0.16125021610951765
PNS,77,0.35064935064935066,18.65753424657534,16.493150684931507,0.05194805194805195,0.0,467.45454545454544,7,4,2,1.6622643180573773,-0.7970161811739246
PSP,130,0.3076923076923077,18.75,18.2421875,0.015384615384615385,0.0,651.623076923077,12,6,2,0.828277921803801,-0.4997956650603744
PVD,105,0.18095238095238095,6.885714285714286,7.895238095238096,0.0,0.0,750.5142857142857,11,5,0,-0.5686250458501036,-1.7986780661585424
RDU,289,0.17993079584775087,5.219512195121951,7.557491289198606,0.006920415224913495,0.0,665.8477508650519,29,10,0,-1.4229474417334382,-0.9352254065763566
RIC,140,0.18571428571428572,9.359712230215827,9.956834532374101,0.007142857142857143,0.0,562.2928571428571,14,8,0,-0.5348910528718063,-1.354477328792316
RNO,129,0.17829457364341086,3.7674418604651163,5.674418604651163,0.0,0.0,584.6356589147287,11,6,0,-0.7346707287602758,-1.9742808583672107
ROC,64,0.15625,2.492063492063492,7.126984126984127,0.015625,0.0,523.15625,11,6,0,-0.6034687969381637,-2.095376670175261
RSW,342,0.21929824561403508,9.008823529411766,14.241176470588234,0.005847953216374269,0.0,991.1812865497076,30,8,0,-1.0340409940582722,-0.3405132708795736
SAN,686,0.25072886297376096,9.176730486008836,10.419970631424375,0.007288629737609329,0.0029154518950437317,975.3746355685131,42,12,1,-1.8779216213849956,0.6449268124815482
SAT,294,0.2891156462585034,11.689655172413794,19.43448275862069,0.013605442176870748,0.0,721.295918367347,27,8,0,-0.042046268769252465,-0.07883343045022281
SAV,87,0.27586206896551724,18.305882352941175,18.03529411764706,0.022988505747126436,0.0,618.3793103448276,10,4,2,1.0751626562708378,-0.9215337183081653
SBA,67,0.208955223880597,5.850746268656716,2.4925373134328357,0.0,0.0,397.9850746268657,6,2,0,0.1439740882494542,-2.629256046664946
SDF,92,0.16304347826086957,-3.1758241758241756,1.2967032967032968,0.010869565217391304,0.0,630.4239130434783,15,5,0,-1.127440841291558,-2.4131604035225167
SEA,993,0.22457200402819738,7.869433198380567,12.866666666666667,0.004028197381671702,0.0010070493454179255,1298.787512588117,61,11,1,-2.52713057713074,1.2296658407117902
SFO,1461,0.23545516769336072,9.71103448275862,10.039148351648352,0.004791238877481177,0.0027378507871321013,1206.0903490759754,75,11,1,-2.8043566970793243,1.8426734254236454
SGF,58,0.43103448275862066,21.98076923076923,18.28846153846154,0.10344827586206896,0.0,456.86206896551727,4,4,2,2.4865522333750634,-0.2868508171135598
SHV,61,0.3770491803278688,20.491525423728813,18.661016949152543,0.03278688524590164,0.0,348.26229508196724,4,2,2,2.251150322589646,-0.9756025835072367
SJC,334,0.32934131736526945,19.480243161094226,16.805471124620063,0.014970059880239521,0.0,758.9910179640718,24,9,2,0.13038696035487668,0.3043688932910243
SJU,305,0.2819672131147541,17.82236842105263,15.957236842105264,0.003278688524590164,0.0,1418.2196721311475,22,7,0,-0.7084563713686711,0.23930512271294987
SLC,935,0.22780748663101605,8.94028230184582,14.466450216450216,0.011764705882352941,0.0032085561497326204,745.055614973262,79,10,1,-1.7070125700914387,1.1349503440092006
SMF,330,0.3151515151515151,13.02127659574468,12.519756838905774,0.0030303030303030303,0.0,678.7939393939394,23,9,0,-0.3110018563522016,-0.20099076418797232
SNA,319,0.19122257053291536,4.921135646687697,6.559748427672956,0.006269592476489028,0.0,822.2852664576802,18,8,0,-1.2855008905723961,-1.1789782209502797
STL,417,0.33093525179856115,11.132678132678132,15.924019607843137,0.023980815347721823,0.0,731.8225419664269,41,10,0,-0.47599010272306796,0.48441478752251527
STT,61,0.3442622950819672,15.783333333333333,8.295081967213115,0.0,0.01639344262295082,1200.72131147541,11,6,0,-0.3665508541919817,0.03542030763347035
SYR,53,0.2830188679245283,17.865384615384617,6.788461538461538,0.018867924528301886,0.0,561.1698113207547,7,6,0,0.43967455751898415,-1.2685153567268332
TPA,652,0.23773006134969324,9.523219814241486,14.933539412673879,0.007668711656441718,0.0015337423312883436,882.5536809815951,56,9,1,-1.3198310268213618,0.5255645283028387
TUL,131,0.29770992366412213,14.624,15.264,0.04580152671755725,0.0,524.4198473282443,17,6,2,0.7838424301037664,-0.7073290812175774
TUS,163,0.25153374233128833,17.465408805031448,15.45625,0.024539877300613498,0.0,726.7546012269938,15,7,0,0.24971062145676692,-0.5855752872033674
TYS,70,0.34285714285714286,18.01492537313433,15.014705882352942,0.02857142857142857,0.014285714285714285,593.2571428571429,8,4,2,1.1909941035986384,-0.34050171639652277
XNA,71,0.29577464788732394,15.441176470588236,11.25,0.04225352112676056,0.0,495.28169014084506,7,2,2,1.2984168319831233,-1.512188358926475
